PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,GoodRowThemes,CountGoodRowThemes
BJuqi,2kr2r1/1b6/2qppp2/1pB5/1P5p/2P4P/P2R1QPK/6R1 w - - 0 28,f2f6 d6c5 d2d8 g8d8,1940,76,90,1602,crushing middlegame short Pawn Rook,https://lichess.org/IlipQzy1#Some(54),,"['crushing', 'middlegame', 'Pawn', 'Rook']",4
wX7Pu,4r3/bb1rNp2/p4k2/P1p3p1/3p1B2/1P4K1/4R1PP/4R3 w - - 0 33,f4g5 f6g5 h2h4 g5f6 e1f1 f6g7 e7f5 g7f8,1892,74,93,2493,crushing defensiveMove hangingPiece middlegame veryLong King,https://lichess.org/GmdDyTcf#Some(64),,"['crushing', 'defensiveMove', 'hangingPiece', 'middlegame', 'King']",5
ZYmNk,r4k2/pp1n1p2/2p1r3/2b2RQ1/8/2N3PP/PPq5/5R1K b - - 3 24,e6f6 f5f6 d7f6 g5c5,1959,77,95,5323,crushing discoveredAttack middlegame short Rook Queen,https://lichess.org/dQfTVfh7/black#Some(47),,"['crushing', 'discoveredAttack', 'middlegame', 'Rook', 'Queen']",5
DKCHY,3r3k/1q4pp/4p3/8/8/Q3p1P1/4RP1P/5K2 w - - 0 34,e2e3 b7h1 f1e2 h1d1,1909,76,95,3175,endgame mate mateIn2 short Queen,https://lichess.org/XHWvoWhN#Some(66),,"['endgame', 'mateIn2', 'Queen']",3
focyi,3R4/pp3r2/6k1/3p1p2/3P1n2/1PP2K2/P6P/8 b - - 1 33,g6g5 h2h4 g5f6 f3f4,1937,75,93,4158,crushing deflection endgame short Pawn King,https://lichess.org/eMhh4utd/black#Some(65),,"['crushing', 'deflection', 'endgame', 'Pawn', 'King']",5
sUIcY,2k3rr/2pbbp2/p2p1q1p/1p2p2Q/4P3/P2PB3/1PPN1PPP/R4RK1 w - - 5 19,f2f4 d7g4 f4e5 f6f1 d2f1 g4h5,1909,75,97,1445,crushing kingsideAttack long middlegame Bishop Queen,https://lichess.org/LXFTCovD#Some(36),Four_Knights_Game Four_Knights_Game_Spanish_Variation,"['crushing', 'kingsideAttack', 'middlegame', 'Bishop', 'Queen']",5
7ZYOU,b2r2k1/5pp1/q7/4P3/5B2/2P1QPpR/1P1r2K1/7R w - - 11 36,e3d2 d8d2 f4d2 a6e2 g2g3 e2f3,1928,76,92,2988,crushing fork long middlegame Rook Queen,https://lichess.org/2rhApJ6m#Some(70),,"['crushing', 'fork', 'middlegame', 'Rook', 'Queen']",5
rJ7of,3r1rk1/Qp2ppbp/6p1/8/2p1p3/2N5/PqP1NPPP/R4RK1 w - - 0 19,c3e4 b2c2 e4c3 g7c3 e2c3 c2c3,1943,76,90,1058,advantage fork long middlegame Queen Bishop,https://lichess.org/LlBsl4LN#Some(36),Sicilian_Defense Sicilian_Defense_Bowdler_Attack,"['advantage', 'fork', 'middlegame', 'Queen', 'Bishop']",5
vFF3K,4b3/8/5kp1/1pK1p3/p3P2p/P6P/1P2B1P1/8 b - - 3 39,f6g5 e2b5 e8b5 c5b5 g5f4 b5a4 f4e4 b2b4,1880,76,95,6202,bishopEndgame crushing defensiveMove endgame veryLong Bishop King Pawn,https://lichess.org/5eVhD9Mw/black#Some(77),,"['crushing', 'defensiveMove', 'endgame', 'Bishop', 'King', 'Pawn']",6
Cc2Oh,rn1q1rk1/ppp3p1/3p2bp/4pP2/6nP/P1PBBN2/1PP1QP2/R3K2R b KQ - 0 13,g6f5 d3f5 f8f5 e2c4 g8f8 c4g4,1936,75,95,11488,advantage clearance fork long middlegame Bishop Queen,https://lichess.org/Laz4HXrX/black#Some(25),Vienna_Game Vienna_Game_Other_variations,"['advantage', 'clearance', 'fork', 'middlegame', 'Bishop', 'Queen']",6
pgN2Y,r4rk1/pQ1n2pp/3q4/2Pp1p2/5P2/4P3/PP4PP/2R2RK1 b - - 0 20,f8b8 b7a8 b8a8 c5d6,1877,74,90,1426,crushing middlegame pin short Queen Pawn,https://lichess.org/r28vGC4v/black#Some(39),,"['crushing', 'middlegame', 'pin', 'Queen', 'Pawn']",5
8L0DG,8/8/6p1/8/4q2P/3p2P1/4kP2/1Q4K1 w - - 18 69,b1f1 e2d2 h4h5 g6h5,1919,74,93,1271,crushing endgame queenEndgame short King Pawn,https://lichess.org/vJJqCo8w#Some(136),,"['crushing', 'endgame', 'King', 'Pawn']",4
VNFh6,r4rk1/pp3pp1/8/3p3p/1q4b1/5N1P/PP2QPP1/1R2R1K1 b - - 0 18,f8e8 e2e8 a8e8 e1e8 g8h7 h3g4,1918,75,90,1051,advantage kingsideAttack long middlegame Queen Rook Pawn,https://lichess.org/yiCH01Gg/black#Some(35),Queens_Gambit_Declined Queens_Gambit_Declined_Semi-Tarrasch_Defense,"['advantage', 'kingsideAttack', 'middlegame', 'Queen', 'Rook', 'Pawn']",6
