PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,GoodRowThemes,CountGoodRowThemes,GoodRowThemesFormatted
1X4ZD,5k1r/r3q2B/p3Pp2/8/8/6Q1/PPP3P1/1K5R b - - 0 33,h8h7 h1h7 e7h7 g3b8 f8g7 b8a7,1969,75,96,2083,crushing endgame exposedKing interference long Rook Queen,https://lichess.org/SeomMu5u/black#Some(65),,"['crushing', 'endgame', 'exposedKing', 'interference', 'Rook', 'Queen']",6,"['crushing', 'endgame', 'exposedKing', 'interference', 'Rook', 'Queen']"
R80Nl,r1bqkbnr/pppp3p/6P1/7Q/2B1p3/8/PPnP1PPP/RNB2K1R b kq - 1 8,g8f6 c4f7 e8e7 h5e5,1886,78,94,10378,mate mateIn2 opening short Bishop Queen,https://lichess.org/jziLdbMi/black#Some(15),Italian_Game Italian_Game_Rousseau_Gambit,"['mateIn2', 'opening', 'Bishop', 'Queen']",4,"['mateIn2', 'opening', 'Bishop', 'Queen']"
SKdfd,6rk/5R1p/p3p3/1p5N/1b6/8/4KPPP/8 b - - 1 35,b4d6 h5f6 g8g7 f7g7 h8g7 f6e8 g7f7 e8d6,1937,73,93,2839,advantage attraction endgame fork veryLong Knight Rook,https://lichess.org/j8cWlfIA/black#Some(69),,"['advantage', 'attraction', 'endgame', 'fork', 'Knight', 'Rook']",6,"['advantage', 'attraction', 'endgame', 'fork', 'Knight', 'Rook']"
xutuI,2r2rk1/ppq3pp/3bR1p1/6N1/QP1np3/P1P4P/5PP1/R1B3K1 w - - 0 19,e6d6 d4e2 g1h1 c7d6 a4b3 g8h8,1997,80,91,1318,advantage defensiveMove intermezzo long middlegame Knight Queen King,https://lichess.org/0uB9F7qb#Some(36),Caro-Kann_Defense Caro-Kann_Defense_Exchange_Variation,"['advantage', 'defensiveMove', 'intermezzo', 'middlegame', 'Knight', 'Queen', 'King']",7,"['advantage', 'defensiveMove', 'intermezzo', 'middlegame', 'Knight', 'Queen', 'King']"
CcC9v,8/7p/3N1p2/5P1P/1k3n2/5K2/8/8 b - - 1 45,f4h5 d6e8 b4c5 f3g4 h5g3 g4g3,1957,75,92,2259,crushing endgame knightEndgame long trappedPiece Knight King,https://lichess.org/lGmI6HSq/black#Some(89),,"['crushing', 'endgame', 'trappedPiece', 'Knight', 'King']",5,"['crushing', 'endgame', 'trappedPiece', 'Knight', 'King']"
1Gubw,2kq4/Qppr1p2/p3pn1r/8/1P6/6Pp/P6B/3R1RK1 b - - 1 34,c7c6 a7a8 c8c7 g3g4 c7b6 a8d8 d7d8 d1d8,1889,78,94,8185,advantage deflection discoveredAttack middlegame queensideAttack veryLong xRayAttack Queen Pawn Rook,https://lichess.org/hWKzKUdX/black#Some(67),,"['advantage', 'deflection', 'discoveredAttack', 'middlegame', 'queensideAttack', 'xRayAttack', 'Queen', 'Pawn', 'Rook']",9,"['advantage', 'deflection', 'discoveredAttack', 'middlegame', 'queensideAttack', 'xRayAttack', 'Queen', 'Pawn', 'Rook']"
2GwYG,2r1r1k1/1p3p2/3p1P2/4p1Rp/8/pBP5/P7/K7 b - - 0 36,g8h7 b3f7 e5e4 g5h5,1952,75,92,1142,endgame mate mateIn2 short Bishop Rook,https://lichess.org/6s5hAVDi/black#Some(71),,"['endgame', 'mateIn2', 'Bishop', 'Rook']",4,"['endgame', 'mateIn2', 'Bishop', 'Rook']"
tloC6,1q1r2k1/2r2ppp/Bp2p3/pQ1p2b1/P2Pn3/1NP4P/1P3PP1/R3R1K1 b - - 21 25,d8d6 e1e4 d5e4 b5g5,1935,75,92,1090,capturingDefender crushing middlegame short Rook Queen,https://lichess.org/EXPg2fA4/black#Some(49),,"['capturingDefender', 'crushing', 'middlegame', 'Rook', 'Queen']",5,"['capturingDefender', 'crushing', 'middlegame', 'Rook', 'Queen']"
JfBS5,r3k2r/p1pp1ppp/1p2p3/4P3/3PP3/6P1/PP2Q2P/R3KB1q b Qkq - 0 15,h1g1 e1c1 c7c5 f1h3 g1d4 d1d4,1994,76,93,4012,advantage castling endgame long trappedPiece King Bishop Rook,https://lichess.org/JgKVegAb/black#Some(29),French_Defense French_Defense_Knight_Variation,"['advantage', 'castling', 'endgame', 'trappedPiece', 'King', 'Bishop', 'Rook']",7,"['advantage', 'castling', 'endgame', 'trappedPiece', 'King', 'Bishop', 'Rook']"
S7MjT,8/5k2/p2r2pB/1p3pK1/2p2Pp1/8/PPP1R2P/8 w - - 2 42,e2e3 d6d2 h2h4 g4h3,2014,75,90,1003,crushing enPassant endgame short Rook Pawn,https://lichess.org/jIyiQsbO#Some(82),,"['crushing', 'enPassant', 'endgame', 'Rook', 'Pawn']",5,"['crushing', 'enPassant', 'endgame', 'Rook', 'Pawn']"
DL4je,r2qkbnr/ppp3pp/2n2p2/4p3/2B1P1b1/5N2/PPPP2PP/RNBQ1RK1 w kq - 2 7,b1c3 g4f3 f1f3 d8d4 g1h1 d4c4,1871,74,92,1313,crushing fork long opening Bishop Queen,https://lichess.org/X2IxancZ#Some(12),Kings_Gambit_Declined Kings_Gambit_Declined_Queens_Knight_Defense,"['crushing', 'fork', 'opening', 'Bishop', 'Queen']",5,"['crushing', 'fork', 'opening', 'Bishop', 'Queen']"
cvoIp,8/5k1p/p1qbppp1/1r6/3P3P/P1p1B3/1P2QPP1/2R3K1 w - - 0 30,c1c3 c6c3 b2c3 b5b1 e2f1 d6h2 g1h2 b1f1,1962,75,92,1577,crushing endgame pin sacrifice veryLong Queen Rook Bishop,https://lichess.org/HnhBG3xJ#Some(58),,"['crushing', 'endgame', 'pin', 'sacrifice', 'Queen', 'Rook', 'Bishop']",7,"['crushing', 'endgame', 'pin', 'sacrifice', 'Queen', 'Rook', 'Bishop']"
ZQuuj,5rk1/p1p1Rp2/1p1p2N1/8/2Q3P1/1PP1Kb2/6q1/8 b - - 2 30,g2e2 c4e2 f3e2 g6f8,1932,77,95,7555,advantage endgame short Queen Knight,https://lichess.org/nBN5sqbZ/black#Some(59),,"['advantage', 'endgame', 'Queen', 'Knight']",4,"['advantage', 'endgame', 'Queen', 'Knight']"
lZ3Ex,r1b1k2r/pp2bppp/1qn5/3pN3/3p1P2/1P1B4/P4PPP/RN1QR1K1 b kq - 3 12,e8g8 e5c6 b7c6 e1e7,2023,77,92,4325,advantage capturingDefender discoveredAttack middlegame short Knight Rook,https://lichess.org/NS2UUoHN/black#Some(23),Indian_Defense Indian_Defense_London_System,"['advantage', 'capturingDefender', 'discoveredAttack', 'middlegame', 'Knight', 'Rook']",6,"['advantage', 'capturingDefender', 'discoveredAttack', 'middlegame', 'Knight', 'Rook']"
0PgZc,rn2k1n1/p7/1pp1P2q/3pP1Q1/3P4/2N5/PPP5/2K3R1 b q - 2 21,b8a6 g5h6 g8h6 g1g6 e8e7 g6h6,1979,74,92,1503,clearance crushing long middlegame Queen Rook,https://lichess.org/JJQEJuZV/black#Some(41),,"['clearance', 'crushing', 'middlegame', 'Queen', 'Rook']",5,"['clearance', 'crushing', 'middlegame', 'Queen', 'Rook']"
Opupl,1r3bk1/3b1p1p/4p1p1/3pPP2/2pN2P1/2P5/qP4BP/1R2Q2K b - - 0 27,b8b2 b1a1 b2g2 a1a2,2020,75,91,1470,advantage middlegame short trappedPiece Rook,https://lichess.org/BaVyEEP5/black#Some(53),,"['advantage', 'middlegame', 'trappedPiece', 'Rook']",4,"['advantage', 'middlegame', 'trappedPiece', 'Rook']"
rLINk,5r2/7k/Q6p/1p1P2pq/4N3/P7/1P2nbPP/5R1K w - - 0 35,f1f2 e2g3 e4g3 h5d1 g3f1 d1f1 f2f1 f8f1,1995,76,89,2630,backRankMate clearance endgame mate mateIn4 pin sacrifice veryLong xRayAttack Knight Queen Rook,https://lichess.org/33UwqnCT#Some(68),,"['clearance', 'endgame', 'mateIn4', 'pin', 'sacrifice', 'xRayAttack', 'Knight', 'Queen', 'Rook']",9,"['clearance', 'endgame', 'mateIn4', 'pin', 'sacrifice', 'xRayAttack', 'Knight', 'Queen', 'Rook']"
wm2X1,5r2/pp1br3/2p4k/2Pp2qP/1P1Qp1P1/4P1K1/P3BP2/R6R w - - 4 28,a1f1 d7g4 f2f4 e4f3,2020,73,92,3657,crushing enPassant middlegame short Bishop Pawn,https://lichess.org/qfqqbump#Some(54),,"['crushing', 'enPassant', 'middlegame', 'Bishop', 'Pawn']",5,"['crushing', 'enPassant', 'middlegame', 'Bishop', 'Pawn']"
2Ri7N,2kr4/pp1r1pb1/2p4p/2q3p1/2P5/1P5Q/P2B1P1P/2KRR3 b - - 0 25,c8b8 d2f4 g5f4 d1d7 d8d7 h3d7,1911,76,92,1031,crushing discoveredAttack long middlegame queensideAttack Bishop Rook Queen,https://lichess.org/a3Duucdw/black#Some(49),,"['crushing', 'discoveredAttack', 'middlegame', 'queensideAttack', 'Bishop', 'Rook', 'Queen']",7,"['crushing', 'discoveredAttack', 'middlegame', 'queensideAttack', 'Bishop', 'Rook', 'Queen']"
oTriT,8/2R2R1p/p2p2pk/8/4p2P/6PK/1PP1q3/8 b - - 3 37,g6g5 f7f6 h6h5 c7h7,2028,73,95,11618,deflection discoveredAttack endgame mate mateIn2 queenRookEndgame short Rook,https://lichess.org/Yax236nu/black#Some(73),,"['deflection', 'discoveredAttack', 'endgame', 'mateIn2', 'Rook']",5,"['deflection', 'discoveredAttack', 'endgame', 'mateIn2', 'Rook']"
eCOVb,r1bqk2r/ppp2p2/3b2p1/5n2/6p1/2PQ2P1/PP1NP1BP/R1B1K2R b KQkq - 2 12,h8h2 h1h2 d6g3 d3g3 f5g3 h2h8 e8e7 h8d8,2027,76,92,1222,advantage hangingPiece opening sacrifice skewer veryLong Rook Queen,https://lichess.org/YMuc1ep8/black#Some(23),Bird_Opening Bird_Opening_Froms_Gambit,"['advantage', 'hangingPiece', 'opening', 'sacrifice', 'skewer', 'Rook', 'Queen']",7,"['advantage', 'hangingPiece', 'opening', 'sacrifice', 'skewer', 'Rook', 'Queen']"
2sOPZ,4k3/5pp1/P7/2K3Pp/4b2P/1r6/8/4R3 b - - 1 43,f7f5 g5f6 e8f7 e1e4,1982,75,90,1847,crushing enPassant endgame pin short Pawn Rook,https://lichess.org/YzQohQUg/black#Some(85),,"['crushing', 'enPassant', 'endgame', 'pin', 'Pawn', 'Rook']",6,"['crushing', 'enPassant', 'endgame', 'pin', 'Pawn', 'Rook']"
hNPiq,2k2N1r/pp1r2pp/2pq4/4RQ2/3P1n2/8/PPP2PPP/4R1K1 b - - 0 19,h8f8 e5e8 f8e8 e1e8 c8c7 f5a5 b7b6 a5a7,1975,76,94,6698,mate mateIn4 middlegame queensideAttack veryLong Rook Queen,https://lichess.org/B3jLBFc7/black#Some(37),Scandinavian_Defense Scandinavian_Defense_Main_Line,"['mateIn4', 'middlegame', 'queensideAttack', 'Rook', 'Queen']",5,"['mateIn4', 'middlegame', 'queensideAttack', 'Rook', 'Queen']"
