PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,GoodRowThemes,CountGoodRowThemes
FLkVF,2r3k1/1b1qp2p/p2p2pQ/1p2n1Pn/4P3/P1N2P2/1PP1B3/2KR3R w - - 1 22,f3f4 e5f7 h1h5 f7h6,1710,76,93,2754,advantage middlegame short trappedPiece Knight,https://lichess.org/fisqfvM8#Some(42),,"['advantage', 'middlegame', 'trappedPiece', 'Knight']",4
nuxrH,r1bqk2r/pp3ppp/3p3n/2p1b2Q/4P3/2N5/PPPP2PP/R1B1KB1R w KQkq - 0 9,f1c4 c8g4 c4b5 e8f8 h5e5 d6e5,1674,74,97,15497,crushing defensiveMove long opening trappedPiece Bishop King Pawn,https://lichess.org/f4DopNmd#Some(16),Sicilian_Defense Sicilian_Defense_Grand_Prix_Attack,"['crushing', 'defensiveMove', 'opening', 'trappedPiece', 'Bishop', 'King', 'Pawn']",7
koscL,6k1/R4pp1/4p2P/3pB3/2bP1P2/8/pK3b2/8 b - - 0 43,g8h7 h6g7 f2d4 e5d4,1770,74,92,1188,advancedPawn crushing endgame short Pawn Bishop,https://lichess.org/k2cjJRMs/black#Some(85),,"['advancedPawn', 'crushing', 'endgame', 'Pawn', 'Bishop']",5
i6ZQ7,6rk/2rqN1pp/p2p4/1p3N1Q/2n1P2P/6R1/PbP5/1K4R1 b - - 5 26,d7e6 e7g6 e6g6 g3g6,1677,75,89,1409,crushing kingsideAttack middlegame pin short Knight Rook,https://lichess.org/XRV5a1Wp/black#Some(51),,"['crushing', 'kingsideAttack', 'middlegame', 'pin', 'Knight', 'Rook']",6
EtQ9W,Q7/p1p3pk/6r1/5p2/3R1q2/2P3pP/PP3P1K/5R2 w - - 0 29,f2g3 f4g3 h2h1 g3h3,1710,75,98,1203,deflection endgame mate mateIn2 short Queen,https://lichess.org/hMdeTP7u#Some(56),,"['deflection', 'endgame', 'mateIn2', 'Queen']",4
tmjse,8/7r/2P5/8/P2k4/2R5/5p2/5K2 w - - 4 73,c3c2 h7h1 f1f2 h1h2 f2g3 h2c2,1760,75,91,2800,crushing endgame exposedKing long rookEndgame skewer Rook,https://lichess.org/5HDDA7qp#Some(144),,"['crushing', 'endgame', 'exposedKing', 'skewer', 'Rook']",5
R8FK3,4r1k1/6pp/1Q2bp2/1P1r4/p2P2q1/P3PR2/3N2P1/2R3K1 w - - 2 32,b6c6 e8c8 f3f4 c8c6,1762,75,93,1765,crushing middlegame short Rook,https://lichess.org/66Ptf8mY#Some(62),,"['crushing', 'middlegame', 'Rook']",3
7gae7,8/1p1q2pk/p2r3p/P1R2p2/1P2bP2/4R1PP/7K/2Q5 w - - 5 47,e3e2 d6d1 c1d1 d7d1,1688,75,93,5132,crushing endgame short Rook Queen,https://lichess.org/BxcMi2sq#Some(92),,"['crushing', 'endgame', 'Rook', 'Queen']",4
M2WBX,r1bk1b1r/pp3ppp/5p2/4p3/8/2N5/PPP2PPP/R3KB1R b KQ - 1 10,f8b4 e1c1 c8d7 f1b5,1721,78,95,11414,advantage castling discoveredAttack middlegame short King Bishop,https://lichess.org/PmL32Att/black#Some(19),Sicilian_Defense Sicilian_Defense_Open,"['advantage', 'castling', 'discoveredAttack', 'middlegame', 'King', 'Bishop']",6
HQQ9d,rn1q1rk1/pp3ppp/1b3n2/3p2B1/6b1/1QN1PN2/PP2BPPP/R3K2R w KQ - 4 11,c3d5 d8d5 g5f6 d5b3 a2b3 g7f6,1810,75,96,3825,crushing long middlegame Queen Pawn,https://lichess.org/2zNogTAb#Some(20),Queens_Gambit_Declined Queens_Gambit_Declined_Modern_Variation,"['crushing', 'middlegame', 'Queen', 'Pawn']",4
