PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,GoodRowThemes,CountGoodRowThemes,GoodRowThemesFormatted
Q1ESL,5rk1/pp4pp/4Q3/6N1/3P4/P3n2P/1q4P1/6K1 b - - 7 38,g8h8 g5f7 h8g8 f7h6 g8h8 e6g8 f8g8 h6f7,1728,77,89,1184,doubleCheck endgame mate mateIn4 sacrifice smotheredMate veryLong Knight Queen,https://lichess.org/PLAEVatY/black#Some(75),,"['doubleCheck', 'endgame', 'mateIn4', 'sacrifice', 'Knight', 'Queen']",6,"['doubleCheck', 'endgame', 'mateIn4', 'sacrifice', 'Knight', 'Queen']"
sOvSK,r1bqkb1r/ppp2p1p/2np1np1/4p3/2B1P3/2NP1Q2/PPP2PPP/R1B1K1NR b KQkq - 0 6,d8e7 c1g5 f8g7 c3d5 f6d5 g5e7,1725,74,92,2342,advantage long opening Bishop Knight,https://lichess.org/kyABl4p0/black#Some(11),Kings_Pawn_Game Kings_Pawn_Game_Wayward_Queen_Attack,"['advantage', 'opening', 'Bishop', 'Knight']",4,"['advantage', 'opening', 'Bishop', 'Knight']"
Nwm7w,8/8/1pk5/6p1/P1K2p1p/5P1P/6P1/8 b - - 2 49,c6c7 c4d5 c7d7 d5e5,1822,74,95,12045,crushing endgame pawnEndgame short King,https://lichess.org/JRJs6zwu/black#Some(97),,"['crushing', 'endgame', 'King']",3,"['crushing', 'endgame', 'King']"
UIuv6,4r1k1/1pQ2pp1/2P4p/2Pp4/2q5/2Pn3P/6P1/R1R3K1 b - - 0 27,d3c1 c6b7 e8e1 g1h2 c4f1 b7b8q,1797,75,92,1357,advancedPawn crushing endgame long promotion Pawn King,https://lichess.org/wXBRsHse/black#Some(53),,"['advancedPawn', 'crushing', 'endgame', 'promotion', 'Pawn', 'King']",6,"['advancedPawn', 'crushing', 'endgame', 'promotion', 'Pawn', 'King']"
HAc4h,r3r1k1/p1R2ppp/1p1P4/8/4n3/P2qPQP1/1P3PKP/2R5 b - - 1 26,e4d6 c1d1 d3f5 d1d6 f5f3 g2f3,1757,76,94,1785,advantage long middlegame skewer Rook King,https://lichess.org/EBBPOoMe/black#Some(51),,"['advantage', 'middlegame', 'skewer', 'Rook', 'King']",5,"['advantage', 'middlegame', 'skewer', 'Rook', 'King']"
SDgej,r1bq1rk1/p5p1/1p1p1R2/2pPp1p1/2P5/1N1QP3/PPB3PP/R5K1 b - - 0 19,d8f6 d3h7 g8f7 a1f1,1779,74,97,14529,crushing middlegame pin short Queen Rook,https://lichess.org/6VkW3DDG/black#Some(37),Sicilian_Defense Sicilian_Defense_Delayed_Alapin,"['crushing', 'middlegame', 'pin', 'Queen', 'Rook']",5,"['crushing', 'middlegame', 'pin', 'Queen', 'Rook']"
INnjE,4r1k1/pQ4pp/3p1nq1/P1p5/2PP1P2/2P2B2/6PP/1N2rRK1 b - - 4 23,g6b1 b7b1 e1b1 f1b1,1714,74,91,3318,advantage middlegame short xRayAttack Queen Rook,https://lichess.org/mYUadGi8/black#Some(45),,"['advantage', 'middlegame', 'xRayAttack', 'Queen', 'Rook']",5,"['advantage', 'middlegame', 'xRayAttack', 'Queen', 'Rook']"
JonM7,r1b2rk1/ppp1nppp/3p1q2/2b1p3/2B1PP2/1P4Q1/PBPP2PP/RN3R1K b - - 0 10,e5f4 b2f6 f4g3 f6e7,1790,73,96,14828,advantage opening pin short Bishop,https://lichess.org/VGk0g3FR/black#Some(19),Italian_Game Italian_Game_Blackburne-Kostic_Gambit,"['advantage', 'opening', 'pin', 'Bishop']",4,"['advantage', 'opening', 'pin', 'Bishop']"
mel4P,3r1k2/R3bppb/p3p2p/2B1P3/1Pr3P1/P6P/5P1K/3R4 b - - 7 31,d8d1 a7a8 d1d8 a8d8,1701,76,94,12292,endgame mate mateIn2 pin short Rook,https://lichess.org/bHmfD1on/black#Some(61),,"['endgame', 'mateIn2', 'pin', 'Rook']",4,"['endgame', 'mateIn2', 'pin', 'Rook']"
9BCER,2kr4/2p4p/p1p1p3/8/8/1Pq4P/P1PrRQP1/5RK1 w - - 6 22,f2f3 c3f3 f1f3 d2e2,1694,77,92,1814,capturingDefender crushing endgame short Queen Rook,https://lichess.org/FX1GDtXQ#Some(42),,"['capturingDefender', 'crushing', 'endgame', 'Queen', 'Rook']",5,"['capturingDefender', 'crushing', 'endgame', 'Queen', 'Rook']"
