PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,GoodRowThemes,CountGoodRowThemes,[],GoodRowThemesFormatted
082vc,r4rk1/3q1pbp/p2np1p1/3p2BP/1p3PP1/3Q4/PPP5/3NRRK1 b - - 1 22,d6e4 e1e4 d7a7 e4e3,1665,75,88,1239,advantage middlegame short Rook,https://lichess.org/0QRRjFxO/black#Some(43),,"['advantage', 'middlegame', 'Rook']",3,"['advantage', 'middlegame', 'Rook']"
0Scj7,8/8/5pK1/5P2/r3P2P/pkr5/R3R3/8 b - - 6 57,a4e4 a2a3 b3a3 e2e4,1890,75,93,4375,crushing endgame intermezzo rookEndgame short Rook,https://lichess.org/TE91sVzr/black#Some(113),,"['crushing', 'endgame', 'intermezzo', 'Rook']",4,"['crushing', 'endgame', 'intermezzo', 'Rook']"
0sS5j,r6k/2R1R3/6PK/5r2/8/1n5P/4p3/8 b - - 1 38,e2e1q e7h7 h8g8 c7g7 g8f8 h7h8,1576,74,96,8836,endgame exposedKing long mate mateIn3 Rook,https://lichess.org/tLC4OqCR/black#Some(75),,"['endgame', 'exposedKing', 'mateIn3', 'Rook']",4,"['endgame', 'exposedKing', 'mateIn3', 'Rook']"
0uiCA,r4b1r/ppkb1Bpp/1q4n1/6Q1/3nN3/1P5N/PBPPp1PP/R3R1K1 w - - 9 17,f7g6 d4f3 g1h1 f3g5,1893,75,96,1028,advantage doubleCheck middlegame short Knight,https://lichess.org/FhUfK01e#Some(32),Nimzo-Larsen_Attack Nimzo-Larsen_Attack_English_Variation,"['advantage', 'doubleCheck', 'middlegame', 'Knight']",4,"['advantage', 'doubleCheck', 'middlegame', 'Knight']"
036Ga,7r/1p2Rpk1/pP1p2p1/P2P4/2rP4/2p5/2P5/2K2R2 b - - 3 38,c4d4 e7f7 g7h6 f1h1 h6g5 h1h8,1693,75,94,4717,crushing endgame long rookEndgame skewer Rook,https://lichess.org/KkQkXoqf/black#Some(75),,"['crushing', 'endgame', 'skewer', 'Rook']",4,"['crushing', 'endgame', 'skewer', 'Rook']"
02DqO,8/4k3/8/7R/6pK/5p2/P3n1P1/8 w - - 0 51,h4g4 f3g2 g4f3 g2g1q,1568,75,90,1736,advancedPawn crushing endgame promotion short Pawn,https://lichess.org/rc2kJpkW#Some(100),,"['advancedPawn', 'crushing', 'endgame', 'promotion', 'Pawn']",5,"['advancedPawn', 'crushing', 'endgame', 'promotion', 'Pawn']"
0A9YO,rn2k1nr/pQp2pbp/6p1/2q5/8/4P3/PP3PPP/RNB1K1NR w KQkq - 1 10,b7a8 c5c1 e1e2 c1b2,1640,74,98,1994,advantage hangingPiece opening short Queen,https://lichess.org/CwFwl9pr#Some(18),Queens_Gambit_Accepted Queens_Gambit_Accepted_Old_Variation,"['advantage', 'hangingPiece', 'opening', 'Queen']",4,"['advantage', 'hangingPiece', 'opening', 'Queen']"
0RYPm,r5k1/5ppp/pqp1p3/1b1rP1B1/1bB3Q1/1P2P2P/5PP1/R2R2K1 b - - 6 21,d5e5 g5f6 b4f8 f6e5,1605,73,94,10529,crushing middlegame pin short Bishop,https://lichess.org/gnlrN2Wv/black#Some(41),,"['crushing', 'middlegame', 'pin', 'Bishop']",4,"['crushing', 'middlegame', 'pin', 'Bishop']"
09Sxe,1k1r3r/ppp2pp1/2p4p/P1N1p3/4Pq2/2PP1P2/1P2KP2/R2Q4 b - - 2 22,g7g5 d1b3 b7b5 a5b6,1624,75,93,3237,advantage enPassant endgame short Queen Pawn,https://lichess.org/nr1dFHGS/black#Some(43),,"['advantage', 'enPassant', 'endgame', 'Queen', 'Pawn']",5,"['advantage', 'enPassant', 'endgame', 'Queen', 'Pawn']"
171ab,1r6/5Bkp/p4p2/5P2/3bp3/P6Q/2q2PPP/5RK1 w - - 1 28,f7d5 c2f2 g1h1 f2f1,1613,73,93,12127,deflection endgame mate mateIn2 short Queen,https://lichess.org/GlUKd6tv#Some(54),,"['deflection', 'endgame', 'mateIn2', 'Queen']",4,"['deflection', 'endgame', 'mateIn2', 'Queen']"
