PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,GoodRowThemes,CountGoodRowThemes
maULJ,rn3rk1/pp2ppbp/2pp1np1/q5B1/2PP2b1/2N1PNP1/PP3PBP/R2QK2R w KQ - 1 9,h2h3 g4f3 g2f3 a5g5,1900,77,93,2301,capturingDefender crushing middlegame short Bishop Queen,https://lichess.org/sanDsgn7#Some(16),Kings_Indian_Defense Kings_Indian_Defense_Normal_Variation,"['capturingDefender', 'crushing', 'middlegame', 'Bishop', 'Queen']",5
JrImx,8/5p2/p2B1P2/4Pk2/p1R1b3/P7/6r1/4K3 b - - 3 45,g2a2 c4e4 f5e4 e5e6 f7e6 f6f7,2000,74,95,1216,advancedPawn crushing endgame long sacrifice Rook Pawn,https://lichess.org/Bn74t7KE/black#Some(89),,"['advancedPawn', 'crushing', 'endgame', 'sacrifice', 'Rook', 'Pawn']",6
cfWGh,r1b2rk1/2q2pp1/p2bp2p/1ppp3P/6nB/2PP1B2/PPQN1P2/R3K1R1 b Q - 0 17,g4h2 h4f6 g7g5 h5g6 h2f3 d2f3 f7g6 g1g6,1917,74,96,1033,advantage enPassant kingsideAttack middlegame pin veryLong Bishop Pawn Knight Rook,https://lichess.org/KaCbgqaW/black#Some(33),Sicilian_Defense Sicilian_Defense_Delayed_Alapin,"['advantage', 'enPassant', 'kingsideAttack', 'middlegame', 'pin', 'Bishop', 'Pawn', 'Knight', 'Rook']",9
IE6z0,1r3r1k/1R1R2pp/4p2N/8/p3Q3/b1P4P/1P3qP1/1K6 w - - 2 29,d7g7 f2b2 b7b2 b8b2 b1a1 f8f1 e4e1 f1e1,1956,74,93,6245,mate mateIn4 middlegame sacrifice veryLong xRayAttack Queen Rook,https://lichess.org/vVs7v2hq#Some(56),,"['mateIn4', 'middlegame', 'sacrifice', 'xRayAttack', 'Queen', 'Rook']",6
zcxVr,r1bq1rk1/ppb2ppp/2n1p3/3pPn2/1P1p4/P2B1NN1/2P2PPP/R1BQR1K1 b - - 4 12,f5h4 d3h7 g8h7 f3g5 h7g8 d1h5,1913,74,95,4333,attraction clearance crushing kingsideAttack long opening sacrifice Bishop Knight Queen,https://lichess.org/B6JrJmQb/black#Some(23),French_Defense French_Defense_Advance_Variation,"['attraction', 'clearance', 'crushing', 'kingsideAttack', 'opening', 'sacrifice', 'Bishop', 'Knight', 'Queen']",9
zkkh7,8/1pp5/2Pp4/1P1P4/3k4/8/5K2/8 b - - 0 49,b7c6 b5b6 c7b6 d5c6,1970,75,92,2291,crushing endgame intermezzo pawnEndgame short Pawn,https://lichess.org/IvSljRvE/black#Some(97),,"['crushing', 'endgame', 'intermezzo', 'Pawn']",4
eAZBU,r5k1/1pp3q1/3p2BQ/1p1P2p1/3r4/8/PP4PP/5RK1 b - - 3 29,a8f8 g6h7 g8h8 f1f8 g7f8 h6f8,1894,75,94,2628,crushing deflection endgame exposedKing long xRayAttack Bishop Rook Queen,https://lichess.org/2a7Q2zFI/black#Some(57),,"['crushing', 'deflection', 'endgame', 'exposedKing', 'xRayAttack', 'Bishop', 'Rook', 'Queen']",8
6dBSJ,r2qk2r/pb1n1pbp/1p4p1/2p1P3/3N2n1/2NB4/P1P2PPP/R1BQR1K1 w kq - 1 13,d4b5 d8h4 b5d6 e8f8,1949,75,94,1070,crushing defensiveMove middlegame short Queen King,https://lichess.org/BQwjj4z7#Some(24),Pirc_Defense Pirc_Defense_Classical_Variation,"['crushing', 'defensiveMove', 'middlegame', 'Queen', 'King']",5
DwO3A,r4rk1/1b2b1pp/p4P2/1pp5/8/2NRB3/PPP3PP/5RK1 b - - 0 18,f8f6 d3d7 f6e6 d7b7 e6e3 c3d5,1886,75,97,2218,crushing fork long middlegame Rook Knight,https://lichess.org/35fZxNWD/black#Some(35),Scotch_Game Scotch_Game_Other_variations,"['crushing', 'fork', 'middlegame', 'Rook', 'Knight']",5
9H5yV,2r2k2/1b3pQp/1q1rp1p1/pp2B3/4P3/P7/5PPP/4R1K1 b - - 3 31,f8e7 e5f6 e7d7 g7f7 d7c6 e1c1 b6c5 c1c5,1954,75,95,8161,advantage deflection middlegame veryLong Bishop Queen Rook,https://lichess.org/dwlYMLPe/black#Some(61),,"['advantage', 'deflection', 'middlegame', 'Bishop', 'Queen', 'Rook']",6
9WxcJ,r1bb1rk1/pppp1p2/6n1/3NP3/2BP2R1/7Q/PPPq2PP/R5K1 b - - 0 19,d7d6 g4g6 f7g6 d5f6 g8g7 h3h7,1888,75,88,1011,doubleCheck kingsideAttack long mate mateIn3 middlegame sacrifice Rook Knight Queen,https://lichess.org/IusDPpvK/black#Some(37),Italian_Game Italian_Game_Hungarian_Defense,"['doubleCheck', 'kingsideAttack', 'mateIn3', 'middlegame', 'sacrifice', 'Rook', 'Knight', 'Queen']",8
Twmmh,2kr2r1/pbpp1p1p/1p1b1q1n/8/4P3/2NBB2Q/PPP2PPP/R4RK1 w - - 11 13,h3h6 g8g2 g1g2 d8g8 h6g5 g8g5,1929,76,94,11581,advantage attraction kingsideAttack long middlegame sacrifice Rook,https://lichess.org/88mPofuw#Some(24),Scotch_Game Scotch_Game_Other_variations,"['advantage', 'attraction', 'kingsideAttack', 'middlegame', 'sacrifice', 'Rook']",6
THI1L,2k4r/1bq3p1/1p1r1p1p/1P2pP2/3pP3/3Q1B1P/2P3P1/R4RK1 b - - 6 29,c7c5 a1a4 c8b8 a4c4 c5b5 c4c8 h8c8 d3b5,1988,75,91,1349,crushing discoveredAttack exposedKing middlegame queensideAttack veryLong Rook Queen,https://lichess.org/yJ4ErIhN/black#Some(57),,"['crushing', 'discoveredAttack', 'exposedKing', 'middlegame', 'queensideAttack', 'Rook', 'Queen']",7
9CRHR,r2q1rk1/pb3p2/1pn1p1BP/4P3/1p1n2Q1/5N2/PP1N1P1P/R4R1K b - - 0 21,c6e5 g6h7 g8h8 g4g7,1908,74,95,7466,doubleCheck kingsideAttack mate mateIn2 middlegame short Bishop Queen,https://lichess.org/I4tziAMc/black#Some(41),,"['doubleCheck', 'kingsideAttack', 'mateIn2', 'middlegame', 'Bishop', 'Queen']",6
Ye1fE,rnb2rk1/1p3pp1/p3p2p/4P3/6Q1/2qB4/P1P3PP/1R3R1K b - - 0 19,f7f5 e5f6 f8f6 f1f6 c3f6 b1f1,1911,76,90,1286,advantage clearance enPassant long middlegame pin Pawn Rook,https://lichess.org/xa1iOfiP/black#Some(37),Sicilian_Defense Sicilian_Defense_Najdorf_Variation,"['advantage', 'clearance', 'enPassant', 'middlegame', 'pin', 'Pawn', 'Rook']",7
