PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,GoodRowThemes,CountGoodRowThemes
5EaG9,r1bq1rk1/1p4bp/p1p3p1/4Pp2/2PP4/2N1QN2/PP4P1/2KR3R w - - 0 19,f3g5 f5f4 e3f2 d8g5,1807,76,95,8289,advantage interference middlegame short Pawn Queen,https://lichess.org/8wHOoMXt#Some(36),Kings_Indian_Defense Kings_Indian_Defense_Four_Pawns_Attack,"['advantage', 'interference', 'middlegame', 'Pawn', 'Queen']",5
2xDzX,5r2/1k3p2/1b2pQ2/2qpP3/3n2B1/p7/3B1PPP/2R3K1 b - - 3 32,a3a2 c1c5 b6c5 d2c3,1732,75,95,1213,advantage middlegame short Rook Bishop,https://lichess.org/FEWWlVHE/black#Some(63),,"['advantage', 'middlegame', 'Rook', 'Bishop']",4
OXx9y,1rb2rk1/4ppbp/2pp2p1/p4P2/2P1P3/3BqN2/PPQ3PP/1R3R1K b - - 0 16,b8b2 b1b2 g7b2 f1e1,1756,74,95,3076,crushing middlegame short Rook,https://lichess.org/Ufkoe9jA/black#Some(31),Sicilian_Defense Sicilian_Defense_Accelerated_Dragon,"['crushing', 'middlegame', 'Rook']",3
loNQ0,r1bq1rk1/3pbp1p/p4np1/1pp3B1/2BnP3/2NP1N2/PPP2PPP/R2QK2R w KQ - 0 12,f3d4 c5d4 c3d5 b5c4 d5e7 d8e7,1864,75,92,1755,advantage long opening Pawn Queen,https://lichess.org/NRWBqPir#Some(22),Vienna_Game Vienna_Game_Max_Lange_Defense,"['advantage', 'opening', 'Pawn', 'Queen']",4
vkLpS,r1b1k2r/pp3ppp/1qnQ1n2/8/1P6/2N3P1/P3PPBP/R3K1R1 b Qkq - 0 17,b6b4 g2c6 b7c6 d6b4,1772,74,98,1048,advantage intermezzo middlegame short Bishop Queen,https://lichess.org/nkmHRQnA/black#Some(33),English_Opening English_Opening_Symmetrical_Variation,"['advantage', 'intermezzo', 'middlegame', 'Bishop', 'Queen']",5
YKMpO,3r1rk1/pp3ppp/3b1q2/4n3/8/2P2N2/PP2BPPP/R2Q1RK1 w - - 3 18,d1b3 e5f3 e2f3 f6f4 g2g3 f4f3,1834,75,95,2292,crushing kingsideAttack long middlegame Knight Queen,https://lichess.org/gY3rF8Ie#Some(34),Russian_Game Russian_Game_Modern_Attack,"['crushing', 'kingsideAttack', 'middlegame', 'Knight', 'Queen']",5
TYoNB,5rk1/r4pp1/pp3n1p/2p1R3/3q4/1PN3QP/P1P2PP1/4R1K1 b - - 1 21,c5c4 e1d1 d4e5 g3e5,1869,75,93,2030,advantage middlegame short trappedPiece Rook Queen,https://lichess.org/suQ7bqiC/black#Some(41),,"['advantage', 'middlegame', 'trappedPiece', 'Rook', 'Queen']",5
xEfyc,1q3rk1/pb3pp1/1p2p2p/3nP3/3PQ3/3B1N1P/P4PP1/2R3K1 b - - 2 20,f7f5 e5f6 d5f6 e4e6,1753,74,92,2994,crushing discoveredAttack enPassant kingsideAttack middlegame short Pawn Queen,https://lichess.org/dvqoTgkn/black#Some(39),,"['crushing', 'discoveredAttack', 'enPassant', 'kingsideAttack', 'middlegame', 'Pawn', 'Queen']",7
5ImOw,8/5p2/8/1pp5/p3K1kP/P5P1/2P5/8 w - - 0 48,e4d5 b5b4 a3b4 a4a3 b4c5 a3a2 c5c6 a2a1q,1780,74,96,8830,advancedPawn crushing endgame pawnEndgame promotion sacrifice veryLong Pawn,https://lichess.org/lEdLmjis#Some(94),,"['advancedPawn', 'crushing', 'endgame', 'promotion', 'sacrifice', 'Pawn']",6
5OcBj,4rr2/p2b1pqk/1p4p1/2pPP2N/8/2R5/PP2Q1PP/5R1K b - - 0 28,g7e5 e2e5 e8e5 h5f6 h7g7 f6d7,1879,75,92,1269,advantage fork long middlegame Queen Knight,https://lichess.org/K7v157ro/black#Some(55),,"['advantage', 'fork', 'middlegame', 'Queen', 'Knight']",5
