PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,GoodRowThemes,CountGoodRowThemes,GoodRowThemesFormatted
R6MhA,7k/p5p1/1P5p/8/1Bn5/2P1q1P1/P3PR1P/6K1 b - - 0 27,a7a5 b6b7 e3a7 b7b8q a7b8 f2f8 b8f8 b4f8,1753,75,97,11296,advancedPawn advantage endgame fork promotion veryLong Pawn Rook Bishop,https://lichess.org/3dk8OWXP/black#Some(53),,"['advancedPawn', 'advantage', 'endgame', 'fork', 'promotion', 'Pawn', 'Rook', 'Bishop']",8,"['advancedPawn', 'advantage', 'endgame', 'fork', 'promotion', 'Pawn', 'Rook', 'Bishop']"
HxpiX,2r3k1/pp1Qbpp1/4p2p/3pP3/3pq3/2P1B3/PP3P2/2KR2R1 w - - 0 23,e3h6 c8c3 b2c3 e7a3 c1d2 d4c3 d2c3 e4c4 c3d2 a3b4 d2e3 c4e4,1866,75,95,12741,attraction intermezzo mate mateIn5 middlegame queensideAttack sacrifice veryLong Rook Bishop Pawn Queen,https://lichess.org/GBEhGmiU#Some(44),,"['attraction', 'intermezzo', 'mateIn5', 'middlegame', 'queensideAttack', 'sacrifice', 'Rook', 'Bishop', 'Pawn', 'Queen']",10,"['attraction', 'intermezzo', 'mateIn5', 'middlegame', 'queensideAttack', 'sacrifice', 'Rook', 'Bishop', 'Pawn', 'Queen']"
0iUbR,r1b3k1/1pp3pp/p2b1r1q/2pPN3/4Pp2/2BP3P/PP3PPK/R2Q1R2 w - - 1 17,e5g4 f4f3 h2g1 c8g4,1875,75,92,1440,crushing discoveredAttack middlegame short Pawn Bishop,https://lichess.org/bIijDzdA#Some(32),Ruy_Lopez Ruy_Lopez_Exchange_Variation,"['crushing', 'discoveredAttack', 'middlegame', 'Pawn', 'Bishop']",5,"['crushing', 'discoveredAttack', 'middlegame', 'Pawn', 'Bishop']"
FgO4s,3r3r/2p2ppk/p6p/1p6/2PqPPQ1/P4K2/1PP5/3R3R b - - 0 28,d4b2 g4f5 g7g6 f5f7 b2g7 h1h6 h7h6 d1h1,1830,75,87,1008,attraction endgame mate mateIn4 pin sacrifice veryLong Queen Rook,https://lichess.org/T4rocMCl/black#Some(55),,"['attraction', 'endgame', 'mateIn4', 'pin', 'sacrifice', 'Queen', 'Rook']",7,"['attraction', 'endgame', 'mateIn4', 'pin', 'sacrifice', 'Queen', 'Rook']"
BR4Sz,1r1r4/pp2bkpp/1n2pp2/2p5/3PPB2/2P2NP1/P4PKP/1RR5 b - - 2 22,e7d6 f4d6 d8d6 d4c5,1863,75,93,1687,capturingDefender crushing middlegame short Bishop Pawn,https://lichess.org/JxiLhBbg/black#Some(43),,"['capturingDefender', 'crushing', 'middlegame', 'Bishop', 'Pawn']",5,"['capturingDefender', 'crushing', 'middlegame', 'Bishop', 'Pawn']"
psfnu,r1b5/7p/p3pQ1k/1p1p2pq/8/8/6PP/5R1K b - - 1 31,h5g6 f6f8 h6h5 g2g4 h5g4 f8f3 g4h4 f3g3 h4h5 g3h3,1746,75,95,11792,attraction endgame mate mateIn5 veryLong Queen Pawn,https://lichess.org/zcHlUQdp/black#Some(61),,"['attraction', 'endgame', 'mateIn5', 'Queen', 'Pawn']",5,"['attraction', 'endgame', 'mateIn5', 'Queen', 'Pawn']"
JFtFa,2rqk2r/1b1nbppp/pp2pn2/1N1p2B1/3P4/5NP1/PP2PPBP/2RQ1RK1 w k - 0 12,b5a7 c8c1 d1c1 d8a8 a7c6 b7c6,1820,75,95,8505,advantage clearance long opening Rook Queen Bishop,https://lichess.org/7vBa8X6H#Some(22),Queens_Pawn_Game Queens_Pawn_Game_Symmetrical_Variation,"['advantage', 'clearance', 'opening', 'Rook', 'Queen', 'Bishop']",6,"['advantage', 'clearance', 'opening', 'Rook', 'Queen', 'Bishop']"
p8R7y,r5k1/ppp2pb1/4qnpp/1N2p3/4P2B/P4Q1P/1Pr2PP1/2R2RK1 b - - 1 17,c2c6 b5c7 c6c7 c1c7,1849,75,93,3310,advantage fork middlegame short xRayAttack Knight Rook,https://lichess.org/PuRU4hGd/black#Some(33),Pirc_Defense Pirc_Defense_Classical_Variation,"['advantage', 'fork', 'middlegame', 'xRayAttack', 'Knight', 'Rook']",6,"['advantage', 'fork', 'middlegame', 'xRayAttack', 'Knight', 'Rook']"
Jttt5,r4rk1/ppp2ppp/2n2q2/2b2b2/3p1B2/1B3N2/PPP2PPP/R2QR1K1 b - - 4 12,f5c2 d1c2 f6f4 c2c5,1756,75,92,3363,advantage hangingPiece middlegame short Queen,https://lichess.org/6MEcuKTo/black#Some(23),Italian_Game Italian_Game_Two_Knights_Defense,"['advantage', 'hangingPiece', 'middlegame', 'Queen']",4,"['advantage', 'hangingPiece', 'middlegame', 'Queen']"
5VKxA,6k1/5p2/6p1/p2rqp1p/2P5/7P/P4PP1/3Q2K1 w - - 0 29,d1d5 e5d5 c4d5 g8f8 d5d6 f8e8 g1f1 e8d7 f1e2 d7d6,1824,74,93,1226,crushing endgame queenEndgame veryLong Queen King,https://lichess.org/eAJoIkXC#Some(56),,"['crushing', 'endgame', 'Queen', 'King']",4,"['crushing', 'endgame', 'Queen', 'King']"
