PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,GoodRowThemes,CountGoodRowThemes,[],GoodRowThemesFormatted
0lhES,4N3/6p1/6P1/5P2/1p6/1P5r/2k2K2/8 b - - 1 60,h3b3 f5f6 g7f6 g6g7 b3d3 g7g8q,1796,74,93,2241,advancedPawn crushing endgame long promotion Pawn,https://lichess.org/M17bd7Id/black#Some(119),,"['advancedPawn', 'crushing', 'endgame', 'promotion', 'Pawn']",5,"['advancedPawn', 'crushing', 'endgame', 'promotion', 'Pawn']"
0DZNQ,8/pp4pk/2b1Q3/3N4/8/7P/PP3rPK/8 w - - 3 32,d5e7 f2g2 h2h1 g2e2 e7c6 e2e6,1625,76,95,4475,crushing discoveredAttack endgame long Rook,https://lichess.org/KEPBIUH9#Some(62),,"['crushing', 'discoveredAttack', 'endgame', 'Rook']",4,"['crushing', 'discoveredAttack', 'endgame', 'Rook']"
HC61H,r4r2/pppb3k/5R1p/5pqN/7Q/8/PPP3PP/4R1K1 b - - 1 22,g5h4 e1e7 f8f7 e7f7 h7h8 f6h6 h8g8 f7g7 g8f8 h6h8,1821,76,91,1434,fork mate mateIn5 middlegame veryLong Rook,https://lichess.org/CQCOoslg/black#Some(43),,"['fork', 'mateIn5', 'middlegame', 'Rook']",4,"['fork', 'mateIn5', 'middlegame', 'Rook']"
03HfY,r3rbk1/5ppp/p2p4/1p1Qp3/4PPP1/1PP1q2P/PB6/1K1R1R2 b - - 2 20,e3h3 f4e5 a8a7 e5d6,1932,75,92,1440,advantage middlegame short Pawn,https://lichess.org/t2HQSCLZ/black#Some(39),,"['advantage', 'middlegame', 'Pawn']",3,"['advantage', 'middlegame', 'Pawn']"
02NG2,2k4r/Qp3p2/2p3pp/4q3/8/5P2/Pr3P1P/3RR2K b - - 1 25,e5c7 a7d4 h8d8 d4b2,1981,74,92,3479,crushing endgame fork short Queen,https://lichess.org/FhdN8Dgs/black#Some(49),,"['crushing', 'endgame', 'fork', 'Queen']",4,"['crushing', 'endgame', 'fork', 'Queen']"
0Q9Jf,2k1q3/Qpp1P3/p2p1B2/5ppp/6b1/6P1/PPP4P/6K1 b - - 2 31,g4f3 a7a8 c8d7 a8d8,1628,77,96,21003,crushing endgame queensideAttack short Queen,https://lichess.org/U6AoNsih/black#Some(61),,"['crushing', 'endgame', 'queensideAttack', 'Queen']",4,"['crushing', 'endgame', 'queensideAttack', 'Queen']"
0qA6o,B3kb1r/2pb1pp1/p6p/1p2p2q/4PBn1/5N2/PPP3P1/RN1Q1RK1 w k - 2 16,f3e5 f8c5 f1f2 c5f2,1710,75,92,1492,crushing kingsideAttack middlegame short Bishop,https://lichess.org/7pg1E5Ak#Some(30),Ruy_Lopez Ruy_Lopez_Morphy_Defense,"['crushing', 'kingsideAttack', 'middlegame', 'Bishop']",4,"['crushing', 'kingsideAttack', 'middlegame', 'Bishop']"
1LFhn,8/5p2/4p3/kP1r2p1/8/1RK3P1/7P/8 b - - 0 44,g5g4 b5b6 d5d8 b6b7,1670,75,93,1501,advancedPawn crushing endgame rookEndgame short Pawn,https://lichess.org/N3g21c3y/black#Some(87),,"['advancedPawn', 'crushing', 'endgame', 'Pawn']",4,"['advancedPawn', 'crushing', 'endgame', 'Pawn']"
1s1vR,2k4r/4b3/4p3/N1p1Pp2/1qPpbPpr/1R5P/1P3R1K/Q5N1 w - - 0 36,b3b4 h4h3 g1h3 h8h3 h2g1 h3h1,1648,75,97,10575,long mate mateIn3 middlegame Rook,https://lichess.org/c0KpH8U7#Some(70),,"['mateIn3', 'middlegame', 'Rook']",3,"['mateIn3', 'middlegame', 'Rook']"
0k3sh,5rk1/5ppn/1r1p1b1p/1N1P1P1P/1qB2P2/R7/1PP5/2K3QR w - - 2 28,c2c3 b4c4 g1b6 c4f4 c1b1 f4e4,1686,76,93,3359,crushing long middlegame queensideAttack Queen,https://lichess.org/Ms2zQMOo#Some(54),,"['crushing', 'middlegame', 'queensideAttack', 'Queen']",4,"['crushing', 'middlegame', 'queensideAttack', 'Queen']"
