PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,GoodRowThemes,CountGoodRowThemes
X5sxT,r4rk1/pp1bnp2/1q2p3/2p5/2PPp1Q1/PP2P3/5PPP/RN3RK1 b - - 1 16,g8h8 g4h4 h8g8 h4e7,1325,77,96,10883,advantage fork middlegame short Queen,https://lichess.org/NT0XQO6l/black#Some(31),Indian_Defense Indian_Defense_Seirawan_Attack,"['advantage', 'fork', 'middlegame', 'Queen']",4
CCgnI,r3r1k1/1ppb1ppp/8/p2P2q1/P3P2n/3Q4/1B3PPP/R2R1BK1 w - - 1 21,d3d4 h4f3 g1h1 f3d4,1311,75,92,2157,crushing middlegame pin short Knight,https://lichess.org/k4kKdNIm#Some(40),,"['crushing', 'middlegame', 'pin', 'Knight']",4
B30cI,5rk1/1p4p1/p2bp1q1/2p1p2p/P3P3/3P1r1P/2PQ1PP1/R1B2RK1 b - - 1 23,f3h3 d2g5 g6g5 c1g5 h3d3 c2d3,1336,74,81,1041,crushing long middlegame trappedPiece Queen Bishop Pawn,https://lichess.org/CqRlebAR/black#Some(45),,"['crushing', 'middlegame', 'trappedPiece', 'Queen', 'Bishop', 'Pawn']",6
TibYE,r1b4r/1pqp1k1p/p2b1ppQ/3pn3/5B2/P2B4/1PP2PPP/3RR1K1 b - - 1 18,e5f3 g2f3 d6f4 d3g6 h7g6 h6h8,1372,77,87,1030,crushing long middlegame Pawn Bishop Queen,https://lichess.org/O9XV15ij/black#Some(35),Sicilian_Defense Sicilian_Defense_French_Variation,"['crushing', 'middlegame', 'Pawn', 'Bishop', 'Queen']",5
2Ccix,2kr3r/p4ppp/2p1b3/8/1b2q1n1/4NN2/PP1BQPPP/R4RK1 b - - 3 15,e6c4 e2c4 e4c4 e3c4,1247,75,95,14624,crushing middlegame short Queen Knight,https://lichess.org/bJgfulPf/black#Some(29),Sicilian_Defense Sicilian_Defense_Smith-Morra_Gambit_Declined,"['crushing', 'middlegame', 'Queen', 'Knight']",4
ACyDL,r1b1k2r/pn2q1pp/1bp5/8/QP4n1/5N2/P1PP1PPP/RNB2RK1 w kq - 1 16,f1e1 b6f2 g1h1 f2e1,1233,75,93,15349,crushing fork opening short Bishop,https://lichess.org/oV23IaXG#Some(30),Italian_Game Italian_Game_Two_Knights_Defense,"['crushing', 'fork', 'opening', 'Bishop']",4
aS3jI,r2qk2r/pp2ppbp/2b2np1/4Q1B1/8/5N2/PPP2PPP/RN2R1K1 b kq - 0 11,c6f3 g5f6 g7f6 e5f6,1340,75,92,7286,advantage opening pin short Bishop Queen,https://lichess.org/QjP7fwji/black#Some(21),Sicilian_Defense Sicilian_Defense_Chekhover_Variation,"['advantage', 'opening', 'pin', 'Bishop', 'Queen']",5
4pyLh,7k/8/6R1/P3p3/4K3/r3B3/1p6/8 w - - 0 51,g6g1 a3a1 e4e5 a1g1,1379,74,95,1692,crushing endgame short Rook,https://lichess.org/czMff9Ba#Some(100),,"['crushing', 'endgame', 'Rook']",3
eptwA,r1b1r1k1/pp3pbp/5qp1/3p4/3NpP2/2PnP1BP/PPQN2P1/R4K1R b - f3 0 18,e4f3 c2d3 f3g2 f1g2,1323,75,92,1435,advantage hangingPiece middlegame short Queen King,https://lichess.org/66cmfz3w/black#Some(35),Indian_Defense Indian_Defense_Other_variations,"['advantage', 'hangingPiece', 'middlegame', 'Queen', 'King']",5
xxCu9,3r4/3r1pkp/6p1/2p4n/1pP1P2P/p2BKP2/P3NP2/R2R4 w - - 5 27,e2f4 h5f4 e3f4 d7d3 d1d3 d8d3,1309,74,89,2167,crushing long middlegame Knight Rook,https://lichess.org/Y2MmUqri#Some(52),,"['crushing', 'middlegame', 'Knight', 'Rook']",4
FfpmR,3r3r/1pqk3p/2p1p1p1/P1bpP3/1p6/1N2P3/4Q1PP/R4RK1 b - - 1 24,c5a7 f1f7 d7c8 f7c7,1313,74,93,7440,crushing middlegame short skewer Rook,https://lichess.org/9RN8Vl7K/black#Some(47),,"['crushing', 'middlegame', 'skewer', 'Rook']",4
dSurf,4br1k/6p1/p2q3p/1p1B1Pr1/3p3Q/PP6/2P3P1/4RR1K w - - 0 31,d5e4 g5h5 h4h5 e8h5,1263,74,86,1867,crushing middlegame pin short Rook Bishop,https://lichess.org/JFGGB040#Some(60),,"['crushing', 'middlegame', 'pin', 'Rook', 'Bishop']",5
brgPz,6k1/2r3p1/1b1N3p/pP1Pp2P/P3P3/3K4/1r6/R4R2 w - - 5 38,d6c4 b2b3 d3d2 c7c4,1300,74,96,22111,crushing deflection endgame short Rook,https://lichess.org/KJhCSQ52#Some(74),,"['crushing', 'deflection', 'endgame', 'Rook']",4
JHZyn,r4rk1/ppp2ppp/7q/3PNn2/2B5/3P2Pb/P4P2/1R1QR1K1 b - - 10 21,f7f6 d5d6 g8h8 e5f7 f8f7 c4f7,1309,78,91,7157,advantage discoveredAttack fork long middlegame Pawn Knight Bishop,https://lichess.org/0h80Ep81/black#Some(41),,"['advantage', 'discoveredAttack', 'fork', 'middlegame', 'Pawn', 'Knight', 'Bishop']",7
gEHBf,r1b3k1/ppb2ppp/8/3BqP2/1P2p3/P3B2P/2P3P1/R3QRK1 w - - 1 23,d5b3 e5h2 g1f2 c7g3 f2e2 g3e1,1248,75,92,3376,advantage kingsideAttack long middlegame pin skewer Queen Bishop,https://lichess.org/ne6TCtoM#Some(44),,"['advantage', 'kingsideAttack', 'middlegame', 'pin', 'skewer', 'Queen', 'Bishop']",7
li5pC,3r2k1/p4pbp/6p1/8/4r3/2P1BQ2/Pq3PPP/2R3K1 w - - 0 25,f3e4 b2c1 e3c1 d8d1 e4e1 d1e1,1282,75,91,1297,backRankMate endgame fork long mate mateIn3 sacrifice Queen Rook,https://lichess.org/YgoT7Hm6#Some(48),,"['endgame', 'fork', 'mateIn3', 'sacrifice', 'Queen', 'Rook']",6
YuNLp,r3k2r/1p1bnppp/p3p3/q2pP3/1b1Q1P2/P1N5/2PB2PP/R3K1NR b KQkq - 0 11,e7f5 d4b4 a5b4 a3b4,1245,74,91,3275,advantage middlegame short Queen Pawn,https://lichess.org/wHXR6I0g/black#Some(21),French_Defense French_Defense_Advance_Variation,"['advantage', 'middlegame', 'Queen', 'Pawn']",4
X06bU,6k1/3pRrp1/b1pP2p1/qpP4p/p2Q3P/P7/1P3PP1/4R1K1 w - - 0 23,e7f7 a5e1 g1h2 g8f7,1309,74,91,2791,crushing endgame hangingPiece intermezzo short Queen King,https://lichess.org/jOMu8bRS#Some(44),,"['crushing', 'endgame', 'hangingPiece', 'intermezzo', 'Queen', 'King']",6
oCWcf,8/1p3R2/p2kB1p1/2p4p/2P2P1r/5K1P/PP1r4/4R3 w - - 4 40,e6d5 h4h3 f3e4 d2d4,1334,75,95,4686,endgame mate mateIn2 short Rook,https://lichess.org/m91bkXXb#Some(78),,"['endgame', 'mateIn2', 'Rook']",3
