PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,GoodRowThemes,CountGoodRowThemes,GoodRowThemesFormatted
SgPlm,rn2kbnr/ppp3pp/4p3/3pPbB1/Q2P4/2P2N2/Pq4PP/RN2KB1R b KQkq - 1 9,b7b5 f1b5 c7c6 b5c6 b8c6 a4c6,1279,75,96,6763,crushing exposedKing fork long middlegame Bishop Queen,https://lichess.org/jqtDhl4r/black#Some(17),Scandinavian_Defense Scandinavian_Defense_Other_variations,"['crushing', 'exposedKing', 'fork', 'middlegame', 'Bishop', 'Queen']",6,"['crushing', 'exposedKing', 'fork', 'middlegame', 'Bishop', 'Queen']"
tHkeM,b2r3k/6p1/p4p1p/1pp1p1q1/4P3/1PPB3P/P3Q1PB/4R2K w - - 5 29,d3c2 d8d2 e2f3 d2c2,1315,75,97,2042,advantage interference middlegame short Rook,https://lichess.org/bGypScvd#Some(56),,"['advantage', 'interference', 'middlegame', 'Rook']",4,"['advantage', 'interference', 'middlegame', 'Rook']"
1hk2o,3r1bnr/2kn1ppp/Q3pq2/2pp4/3P4/N1P1P3/PP3PPP/R1B1K2R b KQ - 2 11,e6e5 a3b5 c7b8 a6a7 b8c8 a7c7,1253,75,97,7631,exposedKing long mate mateIn3 opening Knight Queen,https://lichess.org/ECCiFOpC/black#Some(21),Queens_Pawn_Game Queens_Pawn_Game_Other_variations,"['exposedKing', 'mateIn3', 'opening', 'Knight', 'Queen']",5,"['exposedKing', 'mateIn3', 'opening', 'Knight', 'Queen']"
tOz6v,8/p2k4/1p6/1P1pK3/3P4/8/8/8 b - - 13 64,d7c7 e5d5 a7a5 b5a6,1353,75,93,2320,crushing enPassant endgame pawnEndgame short King Pawn,https://lichess.org/4IwG0XGH/black#Some(127),,"['crushing', 'enPassant', 'endgame', 'King', 'Pawn']",5,"['crushing', 'enPassant', 'endgame', 'King', 'Pawn']"
GSNxU,1k5r/p1p3pp/Qp6/8/P7/5PpP/5q2/1R2R2K w - - 1 31,a6e2 g3g2 h1h2 g2g1q,1269,73,97,22081,advancedPawn doubleCheck endgame mate mateIn2 promotion short Pawn,https://lichess.org/1Q6hx1hG#Some(60),,"['advancedPawn', 'doubleCheck', 'endgame', 'mateIn2', 'promotion', 'Pawn']",6,"['advancedPawn', 'doubleCheck', 'endgame', 'mateIn2', 'promotion', 'Pawn']"
9HFSE,R7/8/3p4/2pk4/5r2/p2K4/P1P5/8 w - - 0 42,a8a3 f4f3 d3d2 f3a3,1258,75,95,18339,crushing endgame rookEndgame short skewer Rook,https://lichess.org/jtBJ8qnK#Some(82),,"['crushing', 'endgame', 'skewer', 'Rook']",4,"['crushing', 'endgame', 'skewer', 'Rook']"
z1kQR,r3r1k1/1pp4p/1p1p1QP1/8/4P3/1P5q/P2P3P/2K3R1 b - - 0 26,h3e6 g6h7 g8h7 f6g7,1281,75,93,3818,advancedPawn attraction doubleCheck endgame mate mateIn2 short Pawn Queen,https://lichess.org/hcgJ0q0q/black#Some(51),,"['advancedPawn', 'attraction', 'doubleCheck', 'endgame', 'mateIn2', 'Pawn', 'Queen']",7,"['advancedPawn', 'attraction', 'doubleCheck', 'endgame', 'mateIn2', 'Pawn', 'Queen']"
k5gRd,3qr1k1/1rp2ppp/3p1b2/2pP4/5P2/1P2BQ1P/P1P3P1/R4RK1 w - - 1 19,a1b1 e8e3 f3e3 f6d4,1341,75,92,1509,advantage middlegame pin sacrifice short Rook Bishop,https://lichess.org/uH8Hmfqp#Some(36),Ruy_Lopez Ruy_Lopez_Steinitz_Defense,"['advantage', 'middlegame', 'pin', 'sacrifice', 'Rook', 'Bishop']",6,"['advantage', 'middlegame', 'pin', 'sacrifice', 'Rook', 'Bishop']"
AAH41,r1bq1rk1/1p2bppp/p4n2/4p3/2B1P3/2NQ4/PPP3PP/R1B2RK1 w - - 0 12,d3g3 d8d4 c1e3 d4c4,1362,75,93,1426,crushing fork opening short Queen,https://lichess.org/2LcGshZv#Some(22),Sicilian_Defense Sicilian_Defense_Sozin,"['crushing', 'fork', 'opening', 'Queen']",4,"['crushing', 'fork', 'opening', 'Queen']"
Nxw9h,r3k2r/1b1pbp1p/p3p2Q/1p2q3/4N3/3B4/PP3PPP/2R1R1K1 b kq - 1 15,e7d6 e4f6 e8e7 e1e5,1241,75,98,1214,crushing discoveredAttack middlegame short Knight Rook,https://lichess.org/VIxRqoyG/black#Some(29),Sicilian_Defense Sicilian_Defense_OKelly_Variation,"['crushing', 'discoveredAttack', 'middlegame', 'Knight', 'Rook']",5,"['crushing', 'discoveredAttack', 'middlegame', 'Knight', 'Rook']"
09Otk,2br3k/p4Qpp/qp6/5pN1/3n4/6P1/P1P1P2P/1R4K1 b - - 5 24,a6b7 f7b7 c8b7 g5f7 h8g8 f7d8,1324,74,99,1130,advantage fork long middlegame Queen Knight,https://lichess.org/dKHr5V2Y/black#Some(47),,"['advantage', 'fork', 'middlegame', 'Queen', 'Knight']",5,"['advantage', 'fork', 'middlegame', 'Queen', 'Knight']"
Sjjoq,8/7p/2p5/6P1/2Np3P/1P2ppk1/2P5/4K3 w - - 3 42,c4e5 f3f2 e1f1 e3e2 f1e2 g3g2,1292,78,94,22331,advancedPawn crushing defensiveMove endgame exposedKing knightEndgame long Pawn King,https://lichess.org/BVyGy4pI#Some(82),,"['advancedPawn', 'crushing', 'defensiveMove', 'endgame', 'exposedKing', 'Pawn', 'King']",7,"['advancedPawn', 'crushing', 'defensiveMove', 'endgame', 'exposedKing', 'Pawn', 'King']"
DUN6v,8/8/6p1/7p/7P/8/3k1KP1/8 b - - 1 60,d2d3 f2f3 d3d4 f3f4,1260,77,93,2477,crushing defensiveMove endgame pawnEndgame short King,https://lichess.org/JAuIXmhX/black#Some(119),,"['crushing', 'defensiveMove', 'endgame', 'King']",4,"['crushing', 'defensiveMove', 'endgame', 'King']"
TKT5D,5rk1/3b1qbp/pB1p2p1/1p1Pp3/1P2P3/P5NP/3Q2P1/2R3K1 b - - 0 29,g7h6 d2h6 f7f4 h6f4,1340,74,95,4392,crushing hangingPiece middlegame short Queen,https://lichess.org/hyMHpiab/black#Some(57),,"['crushing', 'hangingPiece', 'middlegame', 'Queen']",4,"['crushing', 'hangingPiece', 'middlegame', 'Queen']"
